접수번호,동물국문명,강,목,과,천연기념물,멸종위기등급,야생동물보호협약,구조일시,구조결과일자,구조결과,이첩 방생 위치,사체처리,동물성별,동물연령,구조위도,구조경도,구조고도,방생위도,방생경도,발견장소상세,발견주소,발견장소특징,발생원인,발생원인 세부사항,TM구조위도,TM구조경도,TM방생위도,TM방생경도,등록체중,현재체중,임상적최종진단
2021-1582,너구리,포유강(Mammalia),식육목,개과,해당없음,해당없음,해당없음,2021-08-28,2021-08-28,안락사,,기타,Female,0년0월0일,36.141806,126.601139,20,,,도로변,충청남도 서천군 비인면 성내리 308-2,도로변,차량과의 충돌,차량과의 충돌,36 08 30.5,126 36 04.1,,,3120,3120,차량과의 충돌에 의한 골반 골절
2021-1835,너구리,포유강(Mammalia),식육목,개과,해당없음,해당없음,해당없음,2021-10-31,2021-11-01,DOA,,기타,Unknown,0년0월0일,36.120944,126.607556,10,,,도로옆 농경지 수로,충청남도 서천군 비인면 장포리 277-3,농경지,"개, 고양이 공격","개, 고양이 공격",36 07 15.4,126 36 27.2,,,5140,5140,"우측상완, 좌측경비골 골절 /안면부 교상"
2021-1994,너구리,포유강(Mammalia),식육목,개과,해당없음,해당없음,해당없음,2021-12-02,2021-12-03,폐사체,,기타,Male,0년7월0일,36.05675,126.833333,11,,,주소지 부근 논 위,충청남도 서천군 화양면 죽산리 31,농경지,"개, 고양이 공격","개, 고양이 공격/개 공격 추정",36 03 24.3,126 50 00.0,,,5200,5200,견교상
2021-2005,너구리,포유강(Mammalia),식육목,개과,해당없음,해당없음,해당없음,2021-12-06,2021-12-06,폐사체,,기타,Male,0년0월0일,36.080111,126.668972,19,,,신송교회,충청남도 서천군 서천읍 신송리 287-27,건물옆,기생충 중감염,기생충 중감염/개선충,36 04 48.4,126 40 08.3,,,3300,3300,개선충 중감염
2021-2021,너구리,포유강(Mammalia),식육목,개과,해당없음,해당없음,해당없음,2021-12-11,2021-12-11,DOA,,기타,Female,0년8월0일,36.104944,126.672056,23,,,밭,충청남도 서천군 종천면 산천리 385,농경지,기생충 중감염,기생충 중감염/개선충,36 06 17.8,126 40 19.4,,,0,0,개선충 중감염
2021-2067,너구리,포유강(Mammalia),식육목,개과,해당없음,해당없음,해당없음,2021-12-24,2021-12-24,폐사체,,기타,Female,0년7월0일,36.119944,126.788,41,,,"농경지, 산지 경계 부근",충청남도 서천군 마산면 삼월리 167-1,숲,알 수 없는 사고,알 수 없는 사고,36 07 11.8,126 47 16.8,,,3730,3730,옆구리에 가해진 충격에 의한 장기 및 조직 손상
2022-1356,흰뺨검둥오리,조강(Aves),기러기목,오리과,해당없음,해당없음,해당없음,2022-06-21,2022-06-30,방생,충남 예산군 오가면 원평리 721,,Unknown,Nestling,36.04.494,126.41.301,25,,,발견지 주소 누락으로 인계지 주소 기입,충남 서천군 서천읍 군청로 57,건물옆, - 인공구조물 침입·고립,"인공구조물 침입, 고립",,,,,28.71,35.8,"미아, 탈진"
2022-1371,흰뺨검둥오리,조강(Aves),기러기목,오리과,해당없음,해당없음,해당없음,2022-06-22,2022-06-30,방생,충남 예산군 오가면 원평리 721,,Unknown,Nestling,36.01.184,126.39.585,12,,,주변 풀숲,충남 서천군 장항읍 장항산단로34번길 72-21,건물옆, - 인공구조물 침입·고립,"인공구조물 침입, 고립",,,,,23,35.8,미아 고립
2022-1372,흰뺨검둥오리,조강(Aves),기러기목,오리과,해당없음,해당없음,해당없음,2022-06-22,2022-06-30,방생,충남 예산군 오가면 원평리 721,,Unknown,Nestling,36.01.184,126.39.585,12,,,주변 풀숲,충남 서천군 장항읍 장항산단로34번길 72-21,건물옆, - 인공구조물 침입·고립,"인공구조물 침입, 고립",,,,,23,35.8,미아 고립
2022-1373,흰뺨검둥오리,조강(Aves),기러기목,오리과,해당없음,해당없음,해당없음,2022-06-22,2022-06-30,방생,충남 예산군 오가면 원평리 721,,Unknown,Nestling,36.01.184,126.39.585,12,,,주변 풀숲,충남 서천군 장항읍 장항산단로34번길 72-21,건물옆, - 인공구조물 침입·고립,"인공구조물 침입, 고립",,,,,23,35.8,미아 고립
2022-1374,흰뺨검둥오리,조강(Aves),기러기목,오리과,해당없음,해당없음,해당없음,2022-06-22,2022-06-30,방생,충남 예산군 오가면 원평리 721,,Unknown,Nestling,36.01.184,126.39.585,12,,,주변 풀숲,충남 서천군 장항읍 장항산단로34번길 72-21,건물옆, - 인공구조물 침입·고립,"인공구조물 침입, 고립",,,,,23,35.8,미아 고립
2022-1403,꿩,조강(Aves),닭목,꿩과,해당없음,해당없음,해당없음,2022-06-24,2022-06-25,DOA,,기타,Female,Adult,36.02.101,126.40.499,6,,,주소지 인근 수로 내,충남 서천군 장항읍 옥남리 24-2,기타, - 차량과의 충돌,차량과의 충돌,,,,,844,844,중증의 뇌진탕
2022-1809,괭이갈매기,조강(Aves),도요목,갈매기과,해당없음,해당없음,해당없음,2022-08-01,2022-08-01,폐사체,,기타(협조),Unknown,Adult,36.07.437,126.35.296,4,,,주소 앞 비인해수욕장 내,충남 서천군 비인면 갯벌체험로 492-31,"강, 바다", - 알 수 없는 사고,알 수 없는 사고/,,,,,380,380,알수 없는 사고
2022-1824,괭이갈매기,조강(Aves),도요목,갈매기과,해당없음,해당없음,해당없음,2022-08-03,2022-08-03,안락사,,기타(협조),Unknown,Adult,36.09.211,126.31.592,4,,,자연마루 주차장 앞,충남 서천군 서면 도둔리 1037-20,도로변, - 차량과의 충돌,차량과의 충돌 추정,,,,,372,372,"좌측 부척 개방골절 ,흉부 심한 열상"
2022-1461,멧비둘기,조강(Aves),비둘기목,비둘기과,해당없음,해당없음,해당없음,2022-06-29,2022-07-21,폐사,,폐기,Unknown,Juvenile,36.08.125,126.29.483,15,,,구 서천화력발전소,충남 서천군 서면 마량리 275-5,건물옆, - 어미를 잃음(미아),어미를 잃음(미아),,,,,86,142,단순 미아 
2022-2100,멧비둘기,조강(Aves),비둘기목,비둘기과,해당없음,해당없음,해당없음,2022-09-23,2022-09-23,안락사,,냉동(신냉동창고)(투입박스(일반)),Unknown,Juvenile,36.00.427,126.40.356,18,,,주소지 건물 옆,충남 서천군 장항읍 화천리 540-1,건물옆, - 바이러스 감염,바이러스 감염/폭스바이러스 감염,,,,,0,0,폭스 바이러스 감염
2022-2112,멧비둘기,조강(Aves),비둘기목,비둘기과,해당없음,해당없음,해당없음,2022-09-27,2022-09-27,폐사체,,폐기,Unknown,Unknown,36.04.381,126.41.264,11,,,건물 옆 ,충남 서천군 서천읍 군사리 503-20,건물옆, - 전선/건물과의 충돌,유리 구조물 충돌,,,,,0,0,
2022-2323,멧비둘기,조강(Aves),비둘기목,비둘기과,해당없음,해당없음,해당없음,2022-11-16,2023-02-05,방생,충남 서산시 부석면 천수만로 655-73,,Unknown,Juvenile,36.04.436,126.41.213,16,,,주소지 앞 공터상,충남 서천군 서천읍 서천로98번길 24,건물옆, - 어미를 잃음(미아),어미를 잃음(미아),,,,,140,235,단순 미아
