접수번호,동물국문명,강,목,과,천연기념물,멸종위기등급,야생동물보호협약,구조일시,구조결과일자,구조결과,이첩 방생 위치,사체처리,동물성별,동물연령,구조위도,구조경도,구조고도,방생위도,방생경도,발견장소상세,발견주소,발견장소특징,발생원인,발생원인 세부사항,TM구조위도,TM구조경도,TM방생위도,TM방생경도,등록체중,현재체중,임상적최종진단
2020-0656,물까치,조강(Aves),참새목,까마귀과,해당없음,해당없음,해당없음,2020-05-29,2020-05-29,방생,충청남도 금산군 진산면 지방리 108,,Unknown,Nestling,36.18175,127.357028,166,36.18227411,127.3573393,주택 앞 조경,충청남도 금산군 진산면 지방리 108,건물옆,기타,기타,36 10 54.3,127 21 25.3,36 10 54.3,127 21 25.3,0,0,정상
2020-0657,물까치,조강(Aves),참새목,까마귀과,해당없음,해당없음,해당없음,2020-05-29,2020-05-29,방생,충청남도 금산군 진산면 지방리 108,,Unknown,Nestling,36.18175,127.357028,166,36.18227411,127.3573393,주택 앞 조경,충청남도 금산군 진산면 지방리 108,건물옆,기타,기타,36 10 54.3,127 21 25.3,36 10 54.3,127 21 25.3,0,0,정상
2020-0658,물까치,조강(Aves),참새목,까마귀과,해당없음,해당없음,해당없음,2020-05-29,2020-05-29,방생,충청남도 금산군 진산면 지방리 108,,Unknown,Nestling,36.18175,127.357028,166,36.18227411,127.3573393,주택 앞 조경,충청남도 금산군 진산면 지방리 108,건물옆,기타,기타,36 10 54.3,127 21 25.3,36 10 54.3,127 21 25.3,0,0,정상
2020-1068,꾀꼬리,조강(Aves),참새목,꾀꼬리과,해당없음,해당없음,해당없음,2020-06-28,2020-06-30,폐사,,기타,Unknown,Nestling,36.18175,127.520778,196,,,주택 뒷 편,충청남도 금산군 군북면 동편리 394,건물옆,어미를 잃음(미아),단순 둥지 이탈 미아,36 10 54.3,127 31 14.8,,,34,34,둥지이탈 미아
2020-0718,파랑새,조강(Aves),파랑새목,파랑새과,해당없음,해당없음,해당없음,2020-06-03,2020-06-17,안락사,,기타,Unknown,Unknown,36.180278,127.439278,206,,,공장 부지 내,충청남도 금산군 복수면 용진리 253,건물옆,전선/건물과의 충돌,유리창 충돌 추정,36 10 49.0,127 26 21.4,,,114,114,충돌로 인한 내상(추정)
2020-1982,중대백로㉵,조강(Aves),황새목,왜가리과,해당없음,해당없음,해당없음,2020-12-24,2020-12-24,DOA,,기타,Unknown,Unknown,36.171056,127.441028,226,,,금산군 위생매립장,충청남도 금산군 추부면 용지리 430,건물옆,중독사고(농약),중독사고(농약)토사물이 녹색이며 신경증상이 있는것으로 보아 중독사고로 보임,36 10 15.8,127 26 27.7,,,1196,1196,농약중독
2020-0030,고라니,포유강(Mammalia),소목,사슴과,해당없음,해당없음,해당없음,2020-01-09,2020-01-09,폐사체,,기타,Male,0년7월0일,36.232972,127.523417,183,,,밭,충청남도 금산군 추부면 성당리 238-10,농경지,인공구조물에 얽힘,밭그물에 얽힘,36 13 58.7,127 31 24.3,,,11040,11040,인공구조물 얽힘에 의한 횡문근융해증(추정)
2020-0328,고라니,포유강(Mammalia),소목,사슴과,해당없음,해당없음,해당없음,2020-04-09,2020-04-09,안락사,,기타,Female,0년0월0일,36.131,127.450944,173,,,,충청남도 금산군 금성면 상가리 182-2,도로변,차량과의 충돌,차량과의 충돌,36 07 51.6,127 27 03.4,,,15160,15160,척추(L3) 골절
2020-0472,고라니,포유강(Mammalia),소목,사슴과,해당없음,해당없음,해당없음,2020-05-04,2020-05-04,DOA,,기타,Unknown,0년11월0일,36.108694,127.487639,170,,,세부주소 누락으로 인한 확인 불가 ,충청남도 금산군 금산읍 상리 25-1,도로변,차량과의 충돌,차량 충돌 추정,36 06 31.3,127 29 15.5,,,0,0,왼쪽 골반/앞발허리뼈 골절
2020-0897,고라니,포유강(Mammalia),소목,사슴과,해당없음,해당없음,해당없음,2020-06-17,2020-06-17,안락사,,기타,Male,1년0월0일,36.102861,127.491556,158,,,세부주소 누락으로 인계지 주소 설정 ,충청남도 금산군 금산읍 중도리 337-3,도로변,차량과의 충돌,차량 충돌 추정,36 06 10.3,127 29 29.6,,,14680,14680,하악골절
2020-1124,고라니,포유강(Mammalia),소목,사슴과,해당없음,해당없음,해당없음,2020-07-02,2020-07-02,방생,충청남도 금산군 복수면 용진리 산 8,,Unknown,0년0월0일,36.173889,127.436389,182,36.17306931,127.4392382,수로,충청남도 금산군 복수면 용진리 115-27,건물옆,인공구조물 침입·고립,수로(농수로 아님)와 옹벽이 세워진 사이에 고립되어 있었음,36 10 26.0,127 26 11.0,36 10 23.0,127 26 19.0,0,0,인공구조물 고립
2020-1619,족제비,포유강(Mammalia),식육목,족제비과,해당없음,해당없음,해당없음,2020-09-14,2020-09-14,안락사,,기타,Female,0년0월0일,36.125556,127.341056,346,,,,충청남도 금산군 진산면 묵산리 450-2,건물옆,"개, 고양이 공격","개, 고양이 공격고양이 공격 추정",36 07 32.0,127 20 27.8,,,300,300,포식자 공격에 의한 흉추 골절
2021-1309,꿩,조강(Aves),닭목,꿩과,해당없음,해당없음,해당없음,2021-07-11,2021-08-04,방생,충청남도 예산군 대흥면 갈신리 270-1,,Female,Juvenile,36.239417,127.528306,189,36.6657283,126.8597498,건물 옆 펜스 밑,충청남도 금산군 추부면 성당리 348-1,건물옆,전선/건물과의 충돌,그 밖의 인공구조물 충돌/펜스 충돌,36 14 21.9,127 31 41.9,36 39 56.3,126 51 35.0,252,264,"좌측 견갑골, 쇄골, 오훼골 및 우측 3지 폐쇄골절"
2021-0434,물까치,조강(Aves),참새목,까마귀과,해당없음,해당없음,해당없음,2021-04-22,2021-04-22,폐사체,,기타,Unknown,Unknown,36.111722,127.486139,178,,,삼호아파트,충청남도 금산군 금산읍 상리 306-8,건물옆,전선/건물과의 충돌,유리 구조물 충돌,36 06 42.2,127 29 10.1,,,74,74,충돌에 의한 뇌진탕
2021-1212,어치,조강(Aves),참새목,까마귀과,해당없음,해당없음,해당없음,2021-07-01,2021-07-02,DOA,,기타,Unknown,Juvenile,36.176611,127.439333,184,,,,충청남도 금산군 복수면 용진리 115-4,건물옆,어미를 잃음(미아),어미를 잃음(미아),36 10 35.8,127 26 21.6,,,86,86,단순 미아
2021-0750,딱새,조강(Aves),참새목,솔딱새과,해당없음,해당없음,해당없음,2021-05-17,2021-06-04,방생,충청남도 예산군 예산읍 대회리 1,,Unknown,Juvenile,36.090944,127.520639,159,36.67008139,126.8596661,건물 내 인공구조물 내부,충청남도 금산군 부리면 창평리 698-2,건물옆,부적절한 사육,부적절한 사육,36 05 27.4,127 31 14.3,36 40 13.2,126 51 48.3,16,16,어미를 잃음(미아)
2021-0751,딱새,조강(Aves),참새목,솔딱새과,해당없음,해당없음,해당없음,2021-05-17,2021-06-09,방생,충청남도 예산군 대흥면 갈신리 8-4,,Unknown,Juvenile,36.090944,127.520639,159,36.66847615,126.8674882,건물 내 인공구조물 내부,충청남도 금산군 부리면 창평리 698-2,건물옆,부적절한 사육,부적절한 사육,36 05 27.4,127 31 14.3,36 40 06.8,126 52 03.3,15,15,우측 경비골 골절
2021-0752,딱새,조강(Aves),참새목,솔딱새과,해당없음,해당없음,해당없음,2021-05-17,2021-05-27,안락사,,기타,Unknown,Juvenile,36.090944,127.520639,159,,,건물 내 인공구조물 내부,충청남도 금산군 부리면 창평리 698-2,건물옆,부적절한 사육,부적절한 사육,36 05 27.4,127 31 14.3,,,14,14,양쪽 발목관절 탈구
2021-0753,딱새,조강(Aves),참새목,솔딱새과,해당없음,해당없음,해당없음,2021-05-17,2021-05-29,폐사,,기타,Unknown,Juvenile,36.090944,127.520639,159,,,건물 내 인공구조물 내부,충청남도 금산군 부리면 창평리 698-2,건물옆,부적절한 사육,부적절한 사육,36 05 27.4,127 31 14.3,,,15,13,양측 경비골 골절
2021-1383,물총새,조강(Aves),파랑새목,물총새과,해당없음,해당없음,해당없음,2021-07-22,2021-07-22,안락사,,기타,Unknown,Adult,36.129944,127.491778,161,,,건물옆,충청남도 금산군 금성면 의총리 135-1,건물옆,전선/건물과의 충돌,유리 구조물 충돌,36 07 47.8,127 29 30.4,,,20,20,Lt. 요척골 개방골절
2021-1668,호반새,조강(Aves),파랑새목,물총새과,해당없음,해당없음,해당없음,2021-09-17,2021-10-13,안락사,,기타,Unknown,Adult,36.064528,127.507722,151,,,농수로,충청남도 금산군 남일면 상동리 87-2,농경지,전선/건물과의 충돌,전선과의 충돌,36 03 52.3,127 30 27.8,,,74,85,전선과의 충돌(추정)에 의한 어깨관절 탈구
