접수번호,동물국문명,강,목,과,천연기념물,멸종위기등급,야생동물보호협약,구조일시,구조결과일자,구조결과,이첩 방생 위치,사체처리,동물성별,동물연령,구조위도,구조경도,구조고도,방생위도,방생경도,발견장소상세,발견주소,발견장소특징,발생원인,발생원인 세부사항,TM구조위도,TM구조경도,TM방생위도,TM방생경도,등록체중,현재체중,임상적최종진단
2021-1205,고라니,포유강(Mammalia),소목,사슴과,해당없음,해당없음,해당없음,2021-06-29,2021-06-29,안락사,,기타,Unknown,1년1월0일,36.416,126.694528,153,,,도로변,충청남도 청양군 화성면 장계리 741-14,도로변,차량과의 충돌,차량과의 충돌,36 24 57.6,126 41 40.3,,,13520,13520,차량 충돌에 의한 요추 골절
2021-1245,고라니,포유강(Mammalia),소목,사슴과,해당없음,해당없음,해당없음,2021-07-04,2021-07-04,방생,충청남도 청양군 청남면 왕진리 산 43,,Unknown,0년0월0일,36.334583,126.941333,29,36.33633532,126.9404261,농수로,충청남도 청양군 청남면 왕진리 867,농경지,농수로 고립,농수로 고립,36 20 04.5,126 56 28.8,36 20 10.4,126 56 25.3,0,0,단순 미아
2021-1923,고라니,포유강(Mammalia),소목,사슴과,해당없음,해당없음,해당없음,2021-11-19,2021-11-19,안락사,,기타,Female,3년6월0일,36.453667,126.809194,102,,,,충청남도 청양군 청양읍 읍내리 23-3,도로변,차량과의 충돌,차량과의 충돌,36 27 13.2,126 48 33.1,,,13040,13040,차량 충돌에 의한 다발성 골절 및 뇌진탕
2021-2081,고라니,포유강(Mammalia),소목,사슴과,해당없음,해당없음,해당없음,2021-12-30,2022-01-14,안락사,,기타,Female,2년7월0일,36.428306,126.710389,83,,,도로변,충청남도 청양군 화성면 화강리 219-1,도로변,차량과의 충돌,차량과의 충돌,36 25 41.9,126 42 37.4,,,18180,14140,"차량 충돌에 의한 심한 뇌진탕 및 우측 뒷발목허리뼈 골절, 전후지 발가락 피부 열상"
2021-0256,너구리,포유강(Mammalia),식육목,개과,해당없음,해당없음,해당없음,2021-03-13,2021-03-15,폐사,,기타,Male,0년0월0일,36.358083,126.847028,51,,,주소지 부근 민가,충청남도 청양군 장평면 죽림리 28-2,건물옆,기생충 중감염,기생충 중감염/개선충,36 21 29.1,126 50 49.3,,,3220,3220,개선충 중감염
2021-1861,너구리,포유강(Mammalia),식육목,개과,해당없음,해당없음,해당없음,2021-11-05,2021-11-15,폐사,,냉동,Male,0년7월0일,36.368389,126.79575,119,,,주소지 부근 건물 옆 자재 더미 ,충청남도 청양군 남양면 온직리 601,건물옆,기생충 중감염,기생충 중감염/개선충 중감염,36 22 06.2,126 47 44.7,,,3840,3680,개선충 중감염
2021-2065,너구리,포유강(Mammalia),식육목,개과,해당없음,해당없음,해당없음,2021-12-23,2021-12-27,폐사,,기타,Female,0년0월0일,36.409639,126.790472,98,,,비닐하우스,충청남도 청양군 남양면 금정리 616-1,건물옆,기생충 중감염,기생충 중감염/개선충,36 24 34.7,126 47 25.7,,,4320,4320,개선충 중감염
2021-2074,너구리,포유강(Mammalia),식육목,개과,해당없음,해당없음,해당없음,2021-12-28,2021-12-31,폐사,,기타,Female,0년0월0일,36.404639,126.791778,95,,,,충청남도 청양군 남양면 대봉리 7-1,농경지,기생충 중감염,기생충 중감염/개선충,36 24 16.7,126 47 30.4,,,3360,3360,"개선충 중감염, 저체온증, 심한 탈수"
2021-1548,청설모,포유강(Mammalia),쥐목,청서과,해당없음,해당없음,해당없음,2021-08-19,2021-08-19,안락사,,기타,Female,0년0월0일,36.349417,126.960917,24,,,주소지 부근 염소 축사 내부,충청남도 청양군 청남면 청소리 122-1,건물옆,기타,기타/가축(염소)에게 공격받음,36 20 57.9,126 57 39.3,,,356,356,L7  손상 추정/ 후지쪽 심한 승저증
2022-0865,까치,조강(Aves),참새목,까마귀과,해당없음,해당없음,해당없음,2022-05-18,2022-05-30,폐사,,냉동(신냉동창고)(투입박스(일반)),Unknown,Juvenile,36.27.010,126.48.160,92,,,골목길,충남 청양군 청양읍 칠갑산로열길 6,건물옆, - 어미를 잃음(미아),어미를 잃음(미아),,,,,126,110,단순 미아
2022-1791,박새,조강(Aves),참새목,박새과,해당없음,해당없음,해당없음,2022-07-29,2022-08-27,방생,충남 예산군 예산읍 대학로 54,,Unknown,Nestling,36.24.142,126.56.273,87,,,법륜사 경내 돌계단 위,충남 청양군 정산면 충의로 1273,건물옆, - 어미를 잃음(미아),어미를 잃음(미아)/,,,,,13.07,13.54,단순 미아
2022-2524,직박구리,조강(Aves),참새목,직박구리과,해당없음,해당없음,해당없음,2022-12-30,2023-01-02,방생,충남 청양군 청양읍 교월리 57-2,,Unknown,Unknown,36.27.047,126.48.168,0,,,건물옆,충남 청양군 청양읍 읍내리 204-13,건물옆, - 전선/건물과의 충돌,유리 구조물 충돌,,,,,82,70.9,뇌진탕
2022-0303,대백로,조강(Aves),황새목,왜가리과,해당없음,해당없음,해당없음,2022-03-07,2022-03-07,안락사,,폐기,Unknown,Unknown,36.27.090,126.47.456,104,,,,충남 청양군 청양읍 칠갑산로 179,건물옆, - 전선/건물과의 충돌,유리 구조물 충돌,,,,,"1,536","1,536",유리창 충돌에 의한 우측 상완골 개방골절 및 우측 안구 손상
2022-1555,왜가리,조강(Aves),황새목,왜가리과,해당없음,해당없음,해당없음,2022-07-07,2022-07-07,안락사,,기타,Unknown,Juvenile,36.28.422,126.50.136,132,,,인근 가택 뒷마당,충남 청양군 대치면 수석리 273-6,건물옆, - 전선/건물과의 충돌,전선과의 충돌,,,,,"1,130","1,130",우측 상완골 개방골절(grade3)
2022-1370,고라니,포유강(Mammalia),소목,사슴과,해당없음,해당없음,해당없음,2022-06-12,2022-06-25,폐사,,폐기,Unknown,0년0월0일,36.31.033,126.46.290,41,,,농경지,충남 청양군 비봉면 강정리 248-1,농경지, - 어미를 잃음(미아),어미를 잃음(미아),,,,,"1,178","1,116","미아, 식이성설사"
2022-1663,고라니,포유강(Mammalia),소목,사슴과,해당없음,해당없음,해당없음,2022-07-17,2022-07-17,폐사체,,"냉동(구냉동창고)(성체고라니, 개선충너구리)",Female,0년0월0일,36.24.099,126.56.290,75,,,도로변,충남 청양군 정산면 서정리 산18-2,도로변, - 차량과의 충돌,차량과의 충돌,,,,,"16,100","16,100",양측 경비 개방골절
2022-0337,너구리,포유강(Mammalia),식육목,개과,해당없음,해당없음,해당없음,2022-03-18,2022-03-19,DOA,,기타(협조),Male,0년0월0일,36.21.264,126.51.428,37,,,보건진료소 차고,충남 청양군 장평면 화산로 335,건물옆, - 기생충 중감염,기생충 중감염,,,,,"3,580","3,580","개선충 중감염, 심한 탈수 빈혈"
2022-2071,너구리,포유강(Mammalia),식육목,개과,해당없음,해당없음,해당없음,2022-09-17,2022-09-17,폐사체,,폐기,Male,0년0월0일,36.23.266,126.54.182,102,,,주소지 부근 풀숲,충남 청양군 장평면 적곡리 569,숲, - 알 수 없는 사고,알 수 없는 사고,,,,,0,0,알 수 없는 사고
2022-2362,너구리,포유강(Mammalia),식육목,개과,해당없음,해당없음,해당없음,2022-11-23,2022-11-23,계류,,,Female,0년0월0일,36.26.116,126.53.321,0,,,주소지 인근 휴게시설 변,충남 청양군 정산면 마치리 523-6,건물옆, - 기생충 중감염,기생충 중감염/개선충 중감염,,,,,"4,620","3,840",개선충 중감염
