접수번호,동물국문명,강,목,과,천연기념물,멸종위기등급,야생동물보호협약,구조일시,구조결과일자,구조결과,이첩 방생 위치,사체처리,동물성별,동물연령,구조위도,구조경도,구조고도,방생위도,방생경도,발견장소상세,발견주소,발견장소특징,발생원인,발생원인 세부사항,TM구조위도,TM구조경도,TM방생위도,TM방생경도,등록체중,현재체중,임상적최종진단
2021-1785,물까치,조강(Aves),참새목,까마귀과,해당없음,해당없음,해당없음,2021-10-21,2021-10-21,방생,충청남도 공주시 반포면 학봉리 318,,Unknown,Adult,36.359222,127.2445,139,36.36398718,127.2572255,어썸845 카페 앞,충청남도 공주시 반포면 동학사1로 209-8,건물옆,전선/건물과의 충돌,유리구조물과의 충돌,36 21 33.2,127 14 40.2,36 21 50.3,127 15 26.1,0,0,유리창 충돌에 의한 가벼운 뇌진탕
2021-1413,큰부리까마귀,조강(Aves),참새목,까마귀과,해당없음,해당없음,해당없음,2021-07-26,2021-07-26,안락사,,기타,Unknown,Unknown,36.580417,127.118194,47,,,주소지 부근 도로변,충청남도 공주시 정안면 운궁리 262-1,도로변,차량과의 충돌,차량과의 충돌,36 34 49.5,127 07 05.5,,,420,420,T5 골절
2021-0362,방울새,조강(Aves),참새목,되새과,해당없음,해당없음,해당없음,2021-04-13,2021-04-13,방생,충청남도 공주시 반포면 학봉리 261-1,,Female,Nestling,36.359444,127.251889,126,36.35951864,127.2519688,식당 입구 소나무 아래,충청남도 공주시 반포면 학봉리 261-1,건물옆,어미를 잃음(미아),어미를 잃음(미아),36 21 34.0,127 15 06.8,36 21 34.0,127 15 06.8,0,0,단순 미아
2021-1169,박새,조강(Aves),참새목,박새과,해당없음,해당없음,해당없음,2021-06-26,2021-06-29,폐사,,기타,Unknown,Juvenile,36.302222,127.047222,42,,,가정집 처마,충청남도 공주시 탄천면 덕지리 525,건물옆,끈끈이,끈끈이/,36 18 08.0,127 02 50.0,,,12,10,끈끈이로 인한 탈진
2021-1627,직박구리,조강(Aves),참새목,직박구리과,해당없음,해당없음,해당없음,2021-09-08,2021-09-08,안락사,,기타,Unknown,Juvenile,36.507528,126.958028,60,,,가정집 앞마당,충청남도 공주시 신풍면 백룡리 701,건물옆,"개, 고양이 공격","개, 고양이 공격",36 30 27.1,126 57 28.9,,,38,38,"우측 요척골 진구성 개방골절, 안구손상"
2021-1834,힝둥새,조강(Aves),참새목,할미새과,해당없음,해당없음,해당없음,2021-11-01,2021-11-01,방생,충청남도 공주시 반포면 동학사1로 212-18,,Unknown,Adult,36.359361,127.244278,141,36.36077297,127.2438974,건물옆,충청남도 공주시 반포면 학봉리 700,건물옆,전선/건물과의 충돌,유리 구조물 충돌,36 21 33.7,127 14 39.4,36 21 38.6,127 14 38.0,0,0,경미한 뇌진탕
2021-1168,파랑새,조강(Aves),파랑새목,파랑새과,해당없음,해당없음,해당없음,2021-06-26,2021-06-27,안락사,,기타,Unknown,Adult,36.567278,127.156667,194,,,도로옆 수로,충청남도 공주시 의당면 덕학리 572-5,도로변,"개, 고양이 공격","개, 고양이 공격/고양이 공격",36 34 02.2,127 09 24.0,,,114,114,우측 상완골 개방성 복합 골절
2021-1620,중백로,조강(Aves),황새목,왜가리과,해당없음,해당없음,해당없음,2021-09-06,2021-09-06,안락사,,기타,Unknown,Unknown,36.55425,127.182583,60,,,주소지 앞 도로,충청남도 공주시 의당면 가락동길 7-5,전선,전선/건물과의 충돌,전선과의 충돌,36 33 15.3,127 10 57.3,,,468,468,전선과 충돌에 의한 우측 상완골 개방골절
2021-1718,중백로,조강(Aves),황새목,왜가리과,해당없음,해당없음,해당없음,2021-10-05,2021-10-05,안락사,,기타,Unknown,Adult,36.561417,127.122694,32,,,농경지 인삼밭 내부,충청남도 공주시 정안면 북계리 217-2,농경지,전선/건물과의 충돌,전선 충돌,36 33 41.1,127 07 21.7,,,456,456,전선 충돌에 의한 우측 발목허리뼈 개방골절
2021-0034,집박쥐,포유강(Mammalia),박쥐목,애기박쥐과,해당없음,해당없음,해당없음,2021-01-07,2021-03-19,방생,충청남도 예산군 예산읍 발연리 351-4,,Male,0년0월0일,36.493361,127.09925,39,36.69902923,126.823104,주소지 부근 건물 내부 ,충청남도 공주시 우성면 도천리 1-2,건물옆,인공구조물 침입·고립,"인공구조물 침입, 고립",36 29 36.1,127 05 57.3,36 41 56.2,126 49 23.1,5,6,건물 내부 고립
