접수번호,동물국문명,강,목,과,천연기념물,멸종위기등급,야생동물보호협약,구조일시,구조결과일자,구조결과,이첩 방생 위치,사체처리,동물성별,동물연령,구조위도,구조경도,구조고도,방생위도,방생경도,발견장소상세,발견주소,발견장소특징,발생원인,발생원인 세부사항,TM구조위도,TM구조경도,TM방생위도,TM방생경도,등록체중,현재체중,임상적최종진단
2019-1261,고라니,포유강(Mammalia),소목,사슴과,해당없음,해당없음,해당없음,2019-08-02,2019-08-02,DOA,,기타,Male,1년3월0일,36.376361,126.556556,9,,,대천휴게소 서울방향 출구,충청남도 보령시 주교면 주교리 903-47,도로변,차량과의 충돌,고속도로 길어깨에서 구조,36 22 34.9,126 33 23.6,,,13840,13840,열사병/좌측 뒷발허리뼈 골절/좌측 뒷발가락뼈 개방골절/미추골절
2019-1479,고라니,포유강(Mammalia),소목,사슴과,해당없음,해당없음,해당없음,2019-10-03,2019-10-03,폐사체,,기타,Unknown,1년4월0일,36.36925,126.398139,11,,,펜션 옆 도로,충청남도 보령시 오천면 원산도리 1671-4,도로변,차량과의 충돌,차량과의 충돌,36 22 09.3,126 23 53.3,,,0,0,차량충돌 개체
2019-1709,고라니,포유강(Mammalia),소목,사슴과,해당없음,해당없음,해당없음,2019-12-10,2019-12-10,안락사,,기타,Female,0년6월0일,36.272056,126.643861,89,,,주소지 부근 콘크리트 수로 내,충청남도 보령시 웅천읍 평리 2-28,농경지,농수로 고립,차량충돌 추락 원인 파악 필요  ,36 16 19.4,126 38 37.9,,,10700,10700,양쪽 경골 원위부 성장판 개방골절
2019-0853,너구리,포유강(Mammalia),식육목,개과,해당없음,해당없음,해당없음,2019-06-22,2019-08-29,방생,충청남도 예산군 응봉면 후사리 산 29-4,,Male,0년2월0일,36.377778,126.598639,51,36.65536093,126.7962737,주소지 부근,충청남도 보령시 주교면 신대리 582-6,농경지,기생충 중감염,개선충 감염 ,36 22 40.0,126 35 55.1,36 39 19.1,126 47 46.7,586,3060,개선충 감염
2019-0854,너구리,포유강(Mammalia),식육목,개과,해당없음,해당없음,해당없음,2019-06-22,2019-08-30,방생,충청남도 아산시 송악면 동화리 산 46-1,,Female,0년2월0일,36.377778,126.598639,51,36.73269995,126.9658272,주소지 부근,충청남도 보령시 주교면 신대리 582-6,농경지,기생충 중감염,개선충 감염 ,36 22 40.0,126 35 55.1,36 43 57.7,126 57 56.7,586,3300,개선충 감염
2019-1500,너구리,포유강(Mammalia),식육목,개과,해당없음,해당없음,해당없음,2019-10-10,2019-11-21,방생,충청남도 보령시 신흑동 산 136-5 ,,Female,0년6월0일,36.322278,126.526389,31,36.32291504,126.5264689,주소지 부근 빌라 옆,충청남도 보령시 신흑동 930-23,건물옆,기생충 중감염,기생충(개선충) 감염,36 19 20.2,126 31 35.0,36 19 24.2,126 31 37.8,2480,3400,개선충 감염
2019-1639,너구리,포유강(Mammalia),식육목,개과,해당없음,해당없음,해당없음,2019-11-19,2020-03-07,방생,충청남도 예산군 예산읍 대회리 1,,Male,0년0월0일,36.340611,126.623833,79,36.67008139,126.8596661,양철통식당,충청남도 보령시 명천동 3-13,건물옆,기생충 중감염,기생충(개선충) 중감염,36 20 26.2,126 37 25.8,36 40 15.5,126 51 43.6,4520,4520,개선충 감염증
2020-1273,흰뺨검둥오리,조강(Aves),기러기목,오리과,해당없음,해당없음,해당없음,2020-07-20,2020-10-07,방생,충청남도 예산군 대흥면 손지리 539,,Unknown,Juvenile,36.36575,126.611194,16,36.65913757,126.8125091,농수로 안,충청남도 보령시 죽정동 288-2,"강, 바다",농수로 고립,농수로 고립으로 인한 미아,36 21 56.7,126 36 40.3,36 39 36.4,126 48 42.7,103,206,농수로 고립 미아
2020-1274,흰뺨검둥오리,조강(Aves),기러기목,오리과,해당없음,해당없음,해당없음,2020-07-20,2020-10-07,방생,충청남도 예산군 대흥면 손지리 539,,Unknown,Juvenile,36.36575,126.611194,16,36.65913757,126.8125091,농수로 안,충청남도 보령시 죽정동 288-2,"강, 바다",농수로 고립,농수로 고립으로 인한 미아,36 21 56.7,126 36 40.3,36 39 36.3,126 48 43.0,103,206,농수로 고립 미아
2020-1275,흰뺨검둥오리,조강(Aves),기러기목,오리과,해당없음,해당없음,해당없음,2020-07-20,2020-10-07,방생,충청남도 예산군 대흥면 손지리 539,,Unknown,Juvenile,36.36575,126.611194,16,36.65913757,126.8125091,농수로 안,충청남도 보령시 죽정동 288-2,"강, 바다",농수로 고립,농수로 고립으로 인한 미아,36 21 56.7,126 36 40.3,36 39 36.0,126 48 42.8,103,206,농수로 고립 미아
