접수번호,동물국문명,강,목,과,천연기념물,멸종위기등급,야생동물보호협약,구조일시,구조결과일자,구조결과,이첩 방생 위치,사체처리,동물성별,동물연령,구조위도,구조경도,구조고도,방생위도,방생경도,발견장소상세,발견주소,발견장소특징,발생원인,발생원인 세부사항,TM구조위도,TM구조경도,TM방생위도,TM방생경도,등록체중,현재체중,임상적최종진단
2021-1597,물총새,조강(Aves),파랑새목,물총새과,해당없음,해당없음,해당없음,2021-09-01,2021-09-05,폐사,,기타,Unknown,Juvenile,36.175944,127.213194,48,,,국방대아파트 107동,충청남도 논산시 양촌면 거사리 230,건물옆,전선/건물과의 충돌,유리 구조물 충돌,36 10 33.4,127 12 47.5,,,22,18,좌측 오훼골 골절
2021-0723,파랑새,조강(Aves),파랑새목,파랑새과,해당없음,해당없음,해당없음,2021-05-24,2021-05-24,안락사,,기타,Unknown,Adult,,,,,,,충청남도 논산시,건물옆,전선/건물과의 충돌,전선충돌 추정,,,,,106,106,좌측 완관절 개방성 탈골 및 골절
2021-0724,파랑새,조강(Aves),파랑새목,파랑새과,해당없음,해당없음,해당없음,2021-05-24,2021-06-18,폐사,,기타,Unknown,Adult,,,,,,,충청남도 논산시,건물옆,전선/건물과의 충돌,유리 구조물 충돌,,,,,120,112,심한 뇌진탕 및 좌측 오훼골 골절
2021-0624,왜가리,조강(Aves),황새목,왜가리과,해당없음,해당없음,해당없음,2021-05-14,2021-05-24,방생,충청남도 논산시,,Unknown,Adult,,,,,,,충청남도 논산시,"강, 바다",낚시 쓰레기,낚시 쓰레기,,,,,1260,1490,얽힘에 의한 우측 발목 부종 및 탈진
2021-1287,집박쥐,포유강(Mammalia),박쥐목,애기박쥐과,해당없음,해당없음,해당없음,2021-07-08,2021-07-09,DOA,,기타,Male,0년0월0일,,,,,,,충청남도 논산시,건물옆,어미를 잃음(미아),어미를 잃음(미아),,,,,3,3,미아
2021-0344,고라니,포유강(Mammalia),소목,사슴과,해당없음,해당없음,해당없음,2021-04-09,2021-04-09,안락사,,기타,Male,0년10월0일,,,,,,,충청남도 논산시,도로변,차량과의 충돌,차량과의 충돌,,,,,14520,14520,"충돌에 의한 우측 고관절 탈구, 우측 골반뼈 골절, 우측 척골 골절"
2021-0708,고라니,포유강(Mammalia),소목,사슴과,해당없음,해당없음,해당없음,2021-05-21,2021-05-21,폐사체,,기타,Unknown,0년0월0일,36.185,127.093139,19,,,도로변,충청남도 논산시 강산동 63-2,도로변,차량과의 충돌,차량과의 충돌,36 11 06.0,127 05 35.3,,,0,0,"차량과의 충돌에 의한 다발성 장기 및 골격계 손상, 쇼크 추정"
2021-0930,고라니,포유강(Mammalia),소목,사슴과,해당없음,해당없음,해당없음,2021-06-06,2021-06-06,폐사체,,기타,Unknown,0년0월0일,36.088694,127.131694,229,,,아리스타CC 골프장,충청남도 논산시 연무읍 황화정리 산 98-1,건물옆,"개, 고양이 공격","개, 고양이 공격/",36 05 19.3,127 07 54.1,,,0,0,개 공격에 의한 다발성 외상 및 쇼크 추정
2021-1107,고라니,포유강(Mammalia),소목,사슴과,해당없음,해당없음,해당없음,2021-06-21,2021-10-07,방생,충청남도 예산군 대술면 방산리 산 6-1,,Male,0년1월0일,36.200556,127.234667,113,36.67067053,126.9551574,농경지,충청남도 논산시 연산면 신양리 4,농경지,어미를 잃음(미아),어미를 잃음(미아),36 12 02.0,127 14 04.8,36 40 13.3,126 57 21.7,1148,3620,단순 미아
2021-1375,고라니,포유강(Mammalia),소목,사슴과,해당없음,해당없음,해당없음,2021-07-21,2021-07-21,DOA,,기타,Female,0년0월0일,36.130306,127.186972,151,,,인근 산 주변 도로,충청남도 논산시 가야곡면 강청리 산 76-2,도로변,차량과의 충돌,차량과의 충돌,36 07 49.1,127 11 13.1,,,6200,6200,탈장 및 항문부 열상
2021-1721,고라니,포유강(Mammalia),소목,사슴과,해당없음,해당없음,해당없음,2021-10-05,2021-10-05,폐사체,,기타,Unknown,0년0월0일,36.187028,127.072694,14,,,가정집 마당,충청남도 논산시 계백로 768,도로변,차량과의 충돌,차량과의 충돌,36 11 13.3,127 04 21.7,,,0,0,차량 충돌에 의한 다발성 골절 및 탈진에 의한 폐사
