접수번호,동물국문명,강,목,과,천연기념물,멸종위기등급,야생동물보호협약,구조일시,구조결과일자,구조결과,이첩 방생 위치,사체처리,동물성별,동물연령,구조위도,구조경도,구조고도,방생위도,방생경도,발견장소상세,발견주소,발견장소특징,발생원인,발생원인 세부사항,TM구조위도,TM구조경도,TM방생위도,TM방생경도,등록체중,현재체중,임상적최종진단
2021-1999,고라니,포유강(Mammalia),소목,사슴과,해당없음,해당없음,해당없음,2021-12-05,2021-12-05,폐사체,,기타,Female,0년0월0일,36.2915,126.92175,19,,,백제관광호텔 앞 도로,충청남도 부여군 부여읍 쌍북리 433-4,도로변,차량과의 충돌,차량과의 충돌,36 17 29.4,126 55 18.3,,,17240,17240,둔부~배면 심한 열상
2021-2043,고라니,포유강(Mammalia),소목,사슴과,해당없음,해당없음,해당없음,2021-12-17,2021-12-17,안락사,,기타,Male,3년7월0일,36.308861,126.902333,32,,,백제역사문화관 위례성,충청남도 부여군 규암면 합정리 580,숲,알 수 없는 사고,알 수 없는 사고,36 18 31.9,126 54 08.4,,,15460,15460,"T10, T11 단열"
2021-2048,고라니,포유강(Mammalia),소목,사슴과,해당없음,해당없음,해당없음,2021-12-18,2021-12-19,안락사,,기타,Male,1년7월0일,36.229528,126.736056,95,,,산길 도로변,충청남도 부여군 홍산면 토정리 499-11,도로변,차량과의 충돌,차량과의 충돌,36 13 46.3,126 44 09.8,,,16080,16080,"차량충돌에 의한 Lt. 고관절 탈구, Rt. 무릎관절 개방 탈구"
2021-1421,너구리,포유강(Mammalia),식육목,개과,해당없음,해당없음,해당없음,2021-07-28,2021-07-31,폐사,,기타,Male,0년0월0일,36.286667,126.921889,31,,,가정집 뒷산,충청남도 부여군 부여읍 부소로95번길 23-4,숲,기생충 중감염,기생충 중감염,36 17 12.0,126 55 18.8,,,1020,1020,개선충 중감염
2021-1427,너구리,포유강(Mammalia),식육목,개과,해당없음,해당없음,해당없음,2021-07-29,2021-08-05,폐사,,기타,Female,0년1월0일,36.286667,126.921889,31,,,가정집 뒷산,충청남도 부여군 부여읍 부소로95번길 23-4,숲,기생충 중감염,기생충 중감염,36 17 12.0,126 55 18.8,,,1322,1220,개선충 중감염
2021-1428,너구리,포유강(Mammalia),식육목,개과,해당없음,해당없음,해당없음,2021-07-29,2021-08-05,폐사,,기타,Female,0년1월0일,36.286667,126.921889,31,,,가정집 뒷산,충청남도 부여군 부여읍 부소로95번길 23-4,숲,기생충 중감염,기생충 중감염,36 17 12.0,126 55 18.8,,,1114,1210,개선충 중감염
2021-1905,너구리,포유강(Mammalia),식육목,개과,해당없음,해당없음,해당없음,2021-11-16,2022-02-22,방생,충청남도 서산시 부석면 마룡리 523-16 ,,Male,0년0월0일,36.294917,126.898361,17,36.63875502,126.391016,가정집 마당,충청남도 부여군 규암면 신리로 16-17,건물옆,기생충 중감염,기생충 중감염/개선충 감염,36 17 41.7,126 53 54.1,36 38 15.7,126 23 20.9,3880,4990,개선충 중감염
2022-0271,청둥오리,조강(Aves),기러기목,오리과,해당없음,해당없음,해당없음,2022-02-23,2022-03-18,안락사,,폐기,Female,Adult,36.16.126,126.51.371,9,,,지방도 도로변,충남 부여군 규암면 석우리 11-10,도로변, - 차량과의 충돌,차량과의 충돌,,,,,924,774,차량 충돌에 의한 좌측 상완골 골절 및 날개 손상
2022-0988,흰뺨검둥오리,조강(Aves),기러기목,오리과,해당없음,해당없음,해당없음,2022-05-28,2022-08-03,방생,충남 예산군 신양면 귀곡리 135-1,,Unknown,Nestling,36.15.408,126.53.140,9,,,건물앞,충남 부여군 규암면 충절로2123번길 28-12,건물옆, - 어미를 잃음(미아),어미를 잃음(미아) ,,,,,26,360,미아
2022-1346,흰뺨검둥오리,조강(Aves),기러기목,오리과,해당없음,해당없음,해당없음,2022-06-21,2022-06-30,방생,충남 예산군 오가면 원평리 721,,Unknown,Nestling,36.16.389,126.54.241,15,,,"주소지 부근 건물, 도로 경계",충남 부여군 부여읍 동남리 520-18,건물옆, - 인공구조물 침입·고립,"인공구조물 침입, 고립",,,,,31.1,35.8,미아
2022-1347,흰뺨검둥오리,조강(Aves),기러기목,오리과,해당없음,해당없음,해당없음,2022-06-21,2022-06-30,방생,충남 예산군 오가면 원평리 721,,Unknown,Nestling,36.16.389,126.54.241,15,,,"주소지 부근 건물, 도로 경계",충남 부여군 부여읍 동남리 520-18,건물옆, - 인공구조물 침입·고립,"인공구조물 침입, 고립",,,,,31.2,35.8,미아
2022-1348,흰뺨검둥오리,조강(Aves),기러기목,오리과,해당없음,해당없음,해당없음,2022-06-21,2022-06-30,방생,충남 예산군 오가면 원평리 721,,Unknown,Nestling,36.16.389,126.54.241,15,,,"주소지 부근 건물, 도로 경계",충남 부여군 부여읍 동남리 520-18,건물옆, - 인공구조물 침입·고립,"인공구조물 침입, 고립",,,,,31.7,35.8,미아
2022-1349,흰뺨검둥오리,조강(Aves),기러기목,오리과,해당없음,해당없음,해당없음,2022-06-21,2022-06-30,방생,충남 예산군 오가면 원평리 721,,Unknown,Nestling,36.16.389,126.54.241,15,,,"주소지 부근 건물, 도로 경계",충남 부여군 부여읍 동남리 520-18,건물옆, - 인공구조물 침입·고립,"인공구조물 침입, 고립",,,,,30.8,35.8,미아
2022-1350,흰뺨검둥오리,조강(Aves),기러기목,오리과,해당없음,해당없음,해당없음,2022-06-21,2022-06-30,방생,충남 예산군 오가면 원평리 721,,Unknown,Nestling,36.16.389,126.54.241,15,,,"주소지 부근 건물, 도로 경계",충남 부여군 부여읍 동남리 520-18,건물옆, - 인공구조물 침입·고립,"인공구조물 침입, 고립",,,,,32.7,35.8,미아
2022-1351,흰뺨검둥오리,조강(Aves),기러기목,오리과,해당없음,해당없음,해당없음,2022-06-21,2022-06-21,DOA,,기타,Unknown,Nestling,36.16.389,126.54.241,15,,,"주소지 부근 건물, 도로 경계",충남 부여군 부여읍 동남리 520-18,건물옆, - 인공구조물 침입·고립,"인공구조물 침입, 고립",,,,,27.2,27.2,미아
2022-1958,꿩,조강(Aves),닭목,꿩과,해당없음,해당없음,해당없음,2022-08-24,2022-08-24,DOA,,냉동(신냉동창고)(투입박스(일반)),Male,Adult,36.17.208,126.55.071,91,,,부소산성 영일루 인근 배수로,충남 부여군 부여읍 부소로 31,도로변, - 기아 및 탈진,기아 탈진/,,,,,640,640,"우측 상완부 승저증, 심한 기아"
2022-1776,큰오색딱다구리,조강(Aves),딱다구리목,딱다구리과,해당없음,해당없음,해당없음,2022-07-28,2022-08-06,폐사,,냉동(신냉동창고)(투입박스(일반)),Unknown,Adult,36.17.027,126.55.409,15,,,건물옆,충남 부여군 부여읍 성왕로 369,건물옆, - 전선/건물과의 충돌,유리 구조물 충돌,,,,,106,80,심한 뇌진탕
2022-2079,큰오색딱다구리,조강(Aves),딱다구리목,딱다구리과,해당없음,해당없음,해당없음,2022-09-19,2022-09-22,폐사,,폐기,Unknown,Unknown,36.16.312,126.54.356,20,,,부여군청 건물 옆,충남 부여군 부여읍 사비로 33,건물옆, - 전선/건물과의 충돌,유리 구조물 충돌/건물 유리창 충돌,,,,,106,98,유리창 충돌에 의한 뇌진탕
2022-0469,멧비둘기,조강(Aves),비둘기목,비둘기과,해당없음,해당없음,해당없음,2022-04-20,2022-04-21,DOA,,냉동(신냉동창고)(투입박스(일반)),Unknown,Nestling,36.14.386,126.48.268,16,,,주소지 가택 내,충남 부여군 구룡면 구룡로381번길 9-6,건물옆," - 개, 고양이 공격","개, 고양이 공격/고양이 공격",,,,,172,172,등쪽열상
2022-0506,멧비둘기,조강(Aves),비둘기목,비둘기과,해당없음,해당없음,해당없음,2022-04-25,2022-05-17,방생,충남 서산시 부석면 월계리 144-2,,Unknown,Nestling,36.10.027,126.53.338,10,,,가정집 마당,충남 부여군 임천면 충절로 923-28,건물옆, - 어미를 잃음(미아),어미를 잃음(미아),,,,,84,172,단순 미아
2022-1921,멧비둘기,조강(Aves),비둘기목,비둘기과,해당없음,해당없음,해당없음,2022-08-17,2022-08-17,폐사체,,폐기,Unknown,Juvenile,36.16.311,126.53.227,15,,,규암파출소 앞 주차장 순찰차량 아래,충남 부여군 규암면 수북로 73,건물옆, - 어미를 잃음(미아),어미를 잃음(미아),,,,,82,82,Rt. radius incomplete fx.
2022-0558,까치,조강(Aves),참새목,까마귀과,해당없음,해당없음,해당없음,2022-05-03,2022-05-03,방생,충남 부여군 충화면 팔충리 295,,Unknown,Juvenile,36.11.157,126.49.416,40,,,주소지 나무 아래,충남 부여군 충화면 팔충리 295,숲, - 어미를 잃음(미아),어미를 잃음(미아),,,,,198,198,어미 있는 단순 미아
2022-0559,까치,조강(Aves),참새목,까마귀과,해당없음,해당없음,해당없음,2022-05-03,2022-05-03,방생,충남 부여군 충화면 팔충리 295,,Unknown,Juvenile,36.11.157,126.49.416,40,,,주소지 나무 아래,충남 부여군 충화면 팔충리 295,숲, - 어미를 잃음(미아),어미를 잃음(미아),,,,,176,176,어미 있는 단순 미아
2022-0560,까치,조강(Aves),참새목,까마귀과,해당없음,해당없음,해당없음,2022-05-03,2022-05-03,방생,충남 부여군 충화면 팔충리 295,,Unknown,Juvenile,36.11.157,126.49.416,40,,,주소지 나무 아래,충남 부여군 충화면 팔충리 295,숲, - 어미를 잃음(미아),어미를 잃음(미아),,,,,200,200,어미 있는 단순 미아
2022-0792,참새,조강(Aves),참새목,참새과,해당없음,해당없음,해당없음,2022-05-17,2022-05-30,방생,충남 예산군 예산읍 대회리 1,,Unknown,Juvenile,36.18.305,126.53.485,30,,,상세 발견지 미상,충남 부여군 규암면 백제문로 367,기타, - 어미를 잃음(미아),어미를 잃음(미아),,,,,13.2,16,단순 미아 
